stockid,name,manufacturer,model,serialid,inspection_date,installation_date,service_date,last_results
1757,,wi-bo,sentida 6,2013036553-0008,,2013-04-04,,
1758,,wi-bo,sentida 6,2013036553-0009,,2013-11-06,,
1759,,wi-bo,sentida 6,2013036553-0010,,2013-04-04,,
1760,,wi-bo,sentida 6,2013036553-0011,,2013-04-04,,
1761,,wi-bo,sentida 6,2013036554-001,,2013-04-04,,
1762,,wi-bo,sentida 6,2013036554-002,,2013-04-04,,
1763,,wi-bo,sentida 6,2013036554-003,,2013-11-06,,
1764,,wi-bo,sentida 6,2013036554-004,,2013-04-04,,
1765,,wi-bo,sentida 6,2013036554-005,,2013-04-04,,
1766,,wi-bo,sentida 6,2013036554-006,,2013-04-04,,
1767,,wi-bo,sentida 6,2013036554-007,,2013-04-04,,
1768,,wi-bo,sentida 6,2013036554-008,,2013-11-06,,
1769,,wi-bo,sentida 6,2013036554-009,,2013-04-04,,
1770,,wi-bo,sentida 6,2013036554-010,,2013-04-04,,
1771,,wi-bo,sentida 6,2013036554-011,,2013-04-04,,
1772,,wi-bo,sentida 6,2013036554-012,,2013-04-04,,
1773,,wi-bo,sentida 6,2013036554-013,,2013-11-06,,
1774,,wi-bo,sentida 6,2013036554-014,,2013-04-04,,
1775,,wi-bo,sentida 6,2013036554-015,,2013-04-04,,
1776,,wi-bo,sentida 6,2013036554-016,,2013-04-04,,
1777,,wi-bo,sentida 6,2013036554-017,,2013-04-04,,
1778,,wi-bo,sentida 6,2013036554-018,,2013-11-06,,
1779,,wi-bo,sentida 6,2013036554-019,,2013-04-04,,
1780,,wi-bo,sentida 6,2013036554-020,,2013-04-04,,
1781,,wi-bo,sentida 6,2013036554-021,,2013-04-04,,
1782,,wi-bo,sentida 6,2013036554-022,,2013-04-04,,
1783,,wi-bo,sentida 6,2013036554-023,,2013-11-06,,
1784,,wi-bo,sentida 6,2013036554-024,,2013-04-04,,
1785,,wi-bo,sentida 6,2013036554-025,,2013-04-04,,
1786,,wi-bo,sentida 6,2013036554-026,,2013-04-04,,
1787,,wi-bo,sentida 6,2013036554-027,,2013-04-04,,
1788,,wi-bo,sentida 6,2013036554-028,,2013-11-06,,
1789,,wi-bo,sentida 6,2013036554-029,,2013-04-04,,
1790,,wi-bo,sentida 6,2013036554-030,,2013-04-04,,
1791,,wi-bo,sentida 6,2013036554-031,,2013-04-04,,
1792,,wi-bo,sentida 6,2013036554-032,,2013-04-04,,
1793,,wi-bo,sentida 6,2013036554-033,,2013-11-06,,
1794,,wi-bo,sentida 6,2013036554-034,,2013-04-04,,
1795,,wi-bo,sentida 6,2013036554-035,,2013-04-04,,
1796,,wi-bo,sentida 6,2013036554-036,,2013-04-04,,
1797,,wi-bo,sentida 6,2013049527-0001,,2013-04-04,,
1798,,wi-bo,sentida 6,2013049527-0002,,2013-11-06,,
1799,,wi-bo,sentida 6,2013049527-0004,,2013-04-04,,
1800,,wi-bo,sentida 6,2013049527-0005,,2013-04-04,,
1801,,wi-bo,sentida 6,2013049527-0006,,2013-04-04,,
1802,,wi-bo,sentida 6,2013049527-0007,,2013-11-06,,
1803,,wi-bo,sentida 6,2013049527-0008,,2013-04-04,,
1804,,wi-bo,sentida 6,2013049527-0009,,2013-04-04,,
1805,,wi-bo,sentida 6,2013049527-0010,,2013-04-04,2015-09-03,03/09/2014 Mariusz carried out full service and replaced handset
1806,,wi-bo,sentida 6,2013049527-0011,,2013-04-04,,
1807,,wi-bo,sentida 6,2013049527-0012,,2013-11-06,,
1808,,wi-bo,sentida 6,2013049527-0013,,2013-04-04,,
1809,,wi-bo,sentida 6,2013049527-0014,,2013-04-04,,
1810,,wi-bo,sentida 6,2013054031-0001,,2013-04-04,2015-04-15,24/3/14 Mariusz replaced damaged footboard
1811,,wi-bo,sentida 6,2013054031-0002,,2013-04-04,,
1812,,wi-bo,sentida 6,2013054031-0003,,2013-11-06,,
1813,,wi-bo,sentida 6,2013054031-0004,,2013-04-04,,
1814,,wi-bo,sentida 6,2013054031-0005,,2013-04-04,,
1815,,wi-bo,sentida 6,2013054031-0006,,2013-04-04,,
1816,,wi-bo,sentida 6,2013054031-0007,,2013-04-04,,
1817,,wi-bo,sentida 6,2013054031-0008,,2013-11-06,,
1818,,wi-bo,sentida 6,2013054031-0009,,2013-04-04,,
1819,,wi-bo,sentida 6,2013054031-0010,,2013-04-04,,
1820,,wi-bo,sentida 6,2013054031-0011,,2013-04-04,,
1821,,wi-bo,sentida 6,2013054031-0012,,2013-04-04,2015-04-04,24/3/14 Mariusz replaced damaged footboard -
1822,,wi-bo,sentida 6,2013054031-0013,,2013-11-06,,
1823,,wi-bo,sentida 6,2013054031-0014,,2013-04-04,2015-04-01,"8/5/14 Mariusz didThorough repair of Sentida 6, new steel plate fitted on footboard,"
1824,,wi-bo,sentida 6,2013054031-0015,,2013-04-04,,
1825,,wi-bo,sentida 6,2013054031-0016,,2013-04-04,,
1826,,wi-bo,sentida 6,2013054031-0017,,2013-04-04,,
1827,,wi-bo,sentida 6,2013054031-0018,,2013-11-06,,
1828,,wi-bo,sentida 6,2013054031-0019,,2013-04-04,,
1829,,wi-bo,sentida 6,2013054031-0020,,2013-04-04,,
1830,,wi-bo,sentida 6,2013054031-0021,,2013-04-04,,
1831,,wi-bo,sentida 6,2013057325-0002,,2013-04-04,,
1832,,wi-bo,sentida 6,2013057325-0003,,2013-11-06,,
1833,,wi-bo,sentida 6,2013057325-0004,,2013-04-04,,
1834,,wi-bo,sentida 6,2013057325-0005,,2013-04-04,,
1835,,wi-bo,sentida 6,2013057325-0006,,2013-04-04,,
1836,,wi-bo,sentida 6,2013057325-0007,,2013-04-04,,
1837,,wi-bo,sentida 6,2013057325-0008,,2013-11-06,,
1838,,wi-bo,sentida 6,2013057325-0009,,2013-04-04,,
1839,,wi-bo,sentida 6,2013057325-0010,,2013-04-04,,
1840,,wi-bo,sentida 6,2014000724-0001,,,,
1841,,wi-bo,sentida 6,2014000724-0002,,,,
1842,shower bench,ropox,hudson,N40-1142,,2012-06-10,2013-06-10,
1843,4m b rails straight track,guldmann,gh1,56927,,2012-06-10,2013-06-10,
1845,bath,beka,clara,Aventas,,,2016-08-20,20/8/2015 John serviced Clara Aventas bath
1847,shower bed,ropox,hudson,N41- 0870,,2011-08-31,2018-04-10,10/04/17 Full service done by Tom.
1848,5m x 2m room cover,guldmann,gh3,200-110-0000-08401,,2011-08-31,2018-04-10,20/04/17 Replaced T-Bar 4 point hanger (ordered from previous service)
1851,hoist,guldmann,gh2,120001-3349-2003,,2003-11-07,2012-11-07,
1849,changing bench,ropox,vario,22 -1000,,2003-11-07,2012-11-16,
1850,v-amat,spahn reha,v-amat,3845,,2003-11-07,2012-11-16,
1852,screen,silentia,11 section coloour h:1.85m l:2.75m,101108,,2010-05-19,2011-05-19,
1855,nursing bed,wi-bo,movita,H183459.00085,,,2012-07-12,
1856,hoist,guldmann,gh2,120001-4786-2007,,2008-01-15,2008-01-14,
1857,scales,guldmann,250kg,113461-1039-2005,,2008-01-15,2011-04-07,
1860,bathtub,beka,155e,,,2005-10-17,2018-04-29,29/04/17 full service done by Tom.
1861,bathtub,beka,155e,,,2005-10-17,,
1862,hoist,guldmann,gh2,120001-1023-2008,,2008-10-02,2009-10-02,
1863,changing bench,ropox,vario,N40-0205,,2008-10-02,2009-10-02,
1864,hoist,guldmann,gh1,,,2014-02-01,2015-02-01,
1865,4m x 4m room cover,guldmann,gh3,27427,,2014-02-10,2015-02-10,
1866,4m x 4m room cover,guldmann,gh3,37269,,2014-02-10,2015-02-10,
1868,hoist,guldmann,gh2,120001-1422-2005,,2005-07-19,,
1871,table,beka,vojta,440460792,,,2012-08-24,
1877,hoist,guldmann,gh2,120001-2892-2003,,2014-03-20,2015-03-20,
1876,hoist,guldmann,gh2,120001-2812-2003,,2003-09-22,2013-02-24,
1870,hoist,guldmann,gh2,120001-2813-2003,,2003-09-23,2013-02-24,
1872,hoist,guldmann,gh2,120001-2636-2004,,2004-10-12,2008-07-20,24/1/17 thorough service carried out by krystoff
1874,hoist,guldmann,gh2,120001-4755-2009,,2009-12-16,2014-07-17,
1875,bathtub,beka,k2,0077.46.04,,,2018-01-24,24/1/17 thorough service carried out by krstytoff
1878,hoist,guldmann,gh2,120001-2892-2003,,2003-09-22,2014-07-17,
1873,hoist,guldmann,gh2,120001-0236-2001,,2002-02-01,2014-07-17,
1879,changing bench,ropox,vario 1.8,41-1784 40-306-287,,2013-09-30,2017-12-14,14/12/16 thorough service carried out by krystoff
1880,changing bench,ropox,vario,0806,,2009-07-20,2010-04-08,
1881,hoist,guldmann,gh3,45693,,2014-04-15,2015-04-15,8/2/17 handset replaced by krystoff
1882,nursing table,unknown,g shaw  sons nottingham,183070911,,,,12/04/17 Bench repaired by Tom. Universal cover cleaned & lubricated gas pivots. solved creaking problem. Inspection done.
1883,hoist,guldmann,gh2-dc,120001-1223-2010,,2009-04-15,2011-04-18,
1885,hoist,guldmann,gl3 - mobile,11xxx-1621-2010,,2010-07-29,2011-07-28,
1887,erfi system,erfi,wall mounted,,,2008-02-19,,
1888,4m x4m on b rails,guldmann,gh3,17682,,2014-01-16,2015-01-16,
1890,bathtub,beka,155e,0750.37.05,,2005-10-17,2018-04-29,29/04/17 full service done by Tom. Recommendation new pump needed for spa option as per photo
1889,shower trolley,beka,multicare,73 -1000,,2005-11-01,2006-11-01,
1891,bathtub,beka,155e,0822.48.2008,,2005-10-17,2018-04-28,28/04/17 full service done by Tom. Recommendation new stopper needed.
1892,bathtub,beka,155e,0676.39.05,2016-02-19,2005-10-17,2018-04-28,29/04/17 full service done by Tom. Recommendation new stopper needed.
1893,4m straight track,guldmann,gh1,552251,,2014-07-02,2015-07-02,
1894,nursing table,beka,vario 1.6,,,2014-07-02,2015-07-02,
1895,v-amat,spahn reha,v-amat,1 -1000,,2002-08-27,2006-07-13,
1896,hoist,guldmann,gl3,0012-0602,,2002-08-27,2011-03-11,
1897,hoist,guldmann,gh2,120001-0464-2004,,2002-08-27,2011-03-10,
1899,hoist,guldmann,gl3,GL0050 0805,,2005-08-01,2009-10-01,
1903,bathtub,beka,clara,75 -1000,,2005-11-02,2013-03-05,
1904,hoist,guldmann,gl3 - mobile,120001-1344-2007,,,2011-04-14,
1906,dst,dpe medical,dst,129 -1000,,2004-12-02,2008-10-18,
1908,hoist,guldmann,gh2,120001-1433-2005,,2005-04-26,2009-12-03,
1909,hoist,guldmann,gh2-dc,120001-3844-2005,,2006-02-08,2009-12-03,
1910,hoist,guldmann,gh2-dc,120001-1402-2005,,2005-04-26,2009-12-03,
1911,hoist,guldmann,gh2-dc,120001-1401-2005,,2005-04-26,2009-12-03,
1907,hoist,guldmann,gh2,,,2007-10-10,2008-10-10,
1915,screens,silentia,"15 sec. h1.85, l 3.75",,,2008-03-31,,
1916,hoist,guldmann,gh2-dc,120001-2130-2008,,2008-03-31,2017-11-11,03/04/17 Hoist repaired by Krzys. Handset replaced. Ordered new lifting strap.
1917,hoist,guldmann,gh2,120001-1286-2005,,2007-10-30,2017-11-11,11/11/16 krystoff carried out full service and replaced lifting strap
1918,screens,silentia,7 section,n/a,,2008-09-19,2009-09-18,
1919,changing bench,ropox,vario,0244-2005,,2005-09-01,,"15/9/15 - do not phone to service, currently not in use last year nor required this year."
1921,hoist,guldmann,gh2-dc,120001-4510-2008,,2009-04-24,2010-04-24,
1922,hoist,guldmann,gh2,120001-4253-2009,,2009-11-23,2013-03-29,
1923,hoist,guldmann,gh2,120001-4251-2009,,2009-11-23,2013-03-30,
1924,hoist,guldmann,gh2,120001-4255-2009,,2009-11-23,2013-03-29,
1925,hoist,guldmann,gh2,120001-4262-2009,,2009-11-23,2013-03-29,
1926,hoist,guldmann,gh2,120001-4263-2009,,2009-11-23,2013-03-29,
1927,hoist,guldmann,gh2,120001-4261-2009,,2009-11-23,2013-03-29,
1928,hoist,guldmann,gh2,120001-4243-2009,,2009-11-23,2013-03-29,
1929,hoist,guldmann,gh2,120001-4221-2009,,2009-11-23,2013-03-30,
1930,hoist,guldmann,gh2,120001-4227-2009,,2009-11-23,2013-03-30,
1931,hoist,guldmann,gh2,120001-4218-2009,,2009-11-23,2013-03-29,
1932,hoist,guldmann,gh2,120001-4219-2009,,2009-11-23,2013-03-29,
1933,hoist,guldmann,gh2,120001-4224-2009,,2009-11-23,2013-03-29,
1934,hoist,guldmann,gh2,120001-4142-2009,,2009-11-23,2013-03-30,
1935,hoist,guldmann,gh2,120001-4244-2009,,2009-11-23,2012-04-26,
1936,hoist,guldmann,gh2,120001-4245-2009,,2009-11-23,2013-03-29,
1937,hoist,guldmann,gh2,120001-4260-2009,,2009-11-23,2013-03-29,
1938,hoist,guldmann,gh2,120001-4257-2009,,2009-11-23,2013-03-29,
1939,hoist,guldmann,gh2,120001-4223-2009,,2009-11-23,2013-03-30,
1940,hoist,guldmann,gh2,120001-4258-2009,,2009-11-23,2013-08-30,
1941,hoist,guldmann,gh2,120001-4259-2009,,2009-11-23,2013-03-30,
1942,hoist,guldmann,gh2,120001-4254-2009,,2009-11-23,2013-03-29,
1943,hoist,guldmann,gh2,120001-4252-2009,,2009-11-23,2013-03-29,
1944,hoist,guldmann,gh2,120001-4235-2009,,2009-11-23,2013-03-31,
1945,hoist,guldmann,gh2,120001-4240-2009,,2009-11-23,2010-11-22,
1946,hoist,guldmann,gh2,120001-4234-2009,,2009-11-23,2013-03-30,
1947,hoist,guldmann,gh2,120001-4246-2009,,2009-11-23,2013-03-30,
1948,hoist,guldmann,gh2,120001-4247-2009,,2009-11-23,2013-03-30,
1949,hoist,guldmann,gh2,120001-4249-2009,,2009-11-23,2013-03-30,
1950,hoist,guldmann,gh2,120001-4225-2009,,2009-11-23,2013-03-30,
1951,hoist,guldmann,gh2,120001-4242-2009,,2009-11-23,2013-03-30,
1952,hoist,guldmann,gh2,120001-4248-2009,,2009-11-23,2013-03-30,
1953,hoist,guldmann,gh2,120001-4250-2009,,2009-11-23,2013-03-30,
1954,hoist,guldmann,gh2,120001-4222-2009,,2009-11-23,2013-03-29,
1955,hoist,guldmann,gh2,120001-4226-2009,,2009-11-23,2013-03-29,
1956,hoist,guldmann,gh2,120001-4220-2009,,2009-11-23,2013-03-29,
1957,hoist,guldmann,gh2,120001-4231-2009,,2009-11-23,2013-03-31,
1958,hoist,guldmann,gh2,120001-4233-2009,,2009-11-23,2013-03-31,
1959,hoist,guldmann,gh2,120001-4236-2009,,2009-11-23,2013-03-31,
1960,hoist,guldmann,gh2,120001-4238-2009,,2009-11-23,2013-03-31,
1961,hoist,guldmann,gh2,120001-4232-2009,,2009-11-23,2013-03-31,
1962,hoist,guldmann,gh2,120001-4237-2009,,2009-11-23,2013-03-31,
1963,hoist,guldmann,gh2,120001-4239-2009,,2009-11-23,2013-03-30,
1965,aerolet,economic holland,aerolet,09/2008,,2008-09-15,,
1966,v-amat,spahn reha,v-amat,,,2008-09-15,,
1967,body drier,chiltern,body drier,,,2008-09-15,,
1968,hoist,guldmann,gh1 onto 4m x 4m room cover,30045,,2016-03-14,2017-03-14,14/11/16 credit raised for cover - unde warranty
1970,bathtub,beka,500e,0630.04.04,,2004-02-25,2015-02-20,
1972,hoist,beka,beka hoist,4203L50168,,2004-02-25,2012-09-10,
1971,hoist,guldmann,gh2,120001-3342-2003,,2004-02-25,2016-08-25,25/8/2015 Ian carried out full service
1973,v-amat,spahn reha,v-amat,3914,,2004-02-25,2012-09-10,
1975,v-amat,spahn reha,v-amat,2 -1000,,2002-10-25,,
1974,hoist,guldmann,gh2,120001-2076-2002,,2002-10-25,2016-07-25,25/8/2015 thorough service carried out by Ian.
1977,hoist,guldmann,gh3,17664,,2015-01-23,2016-01-23,23/1/15 installation of GH3 onto  3x3 b rails by Ian and Scott
1979,2.65m straight track,guldmann,gh1,94952,,2013-06-20,2014-06-19,
1978,hoist,guldmann,gh3,45498,,2015-01-23,2016-01-23,23/1/15 installation of GH3 onto  3x3 b rails by Ian and Scott
1980,erfi system,erfi,,ERFI,,,2012-04-28,
1982,hoist,guldmann,gh2-dc,120001-4511-2008,,2009-11-26,2014-05-24,
1984,hoist,guldmann,gh2-dc,120001-2561-2009,,2009-11-26,2014-05-24,
1985,hoist,guldmann,gh2-dc,120001-2524-2009,,2009-11-26,2014-05-24,
1986,hoist,guldmann,gh2-dc,120001-2151-2009,,2009-11-26,2014-05-24,
1987,hoist,guldmann,gh2-dc,120001-2525-2009,,2009-11-26,2014-05-24,
1988,hoist,guldmann,gh2-dc,120001-2517-2009,,2009-11-26,2014-05-24,
1989,hoist,guldmann,gh2-dc,120001-5061-2009,,2010-01-08,2014-05-24,
1992,changing bench,ropox,vario,N40-1154,,2010-02-04,2015-05-24,"Ian reinstalled side rail and refixed the side rail to benchm installed rail in new fixing holes, pictures taken"
1981,hoist,guldmann,gh3,17676,,2015-01-23,2016-01-23,23/1/15 installation of GH3 onto  3x3 b rails by Ian and Scott
1983,hoist,guldmann,gh3,56880,,2015-01-23,2016-01-23,23/1/15 installation of small group room GH3 onto  4x5m b rails
1990,hoist,guldmann,gh2,120001-1844-2008,,2009-11-26,2014-05-24,
1991,hoist,guldmann,gh2,120001-3612-2008,,2009-11-26,2014-05-24,
1993,hoist,guldmann,gh2,120001-2516-2009,,2009-11-26,2014-05-24,
1994,hoist,guldmann,gh2-dc,120001-2513-2009,,2009-11-26,2014-05-24,
1995,hoist,guldmann,gh2-dc,120001-4256-2009,,2009-11-26,2014-05-24,
1996,bathtub,beka,fb500e,0680-32-04,,2009-12-07,2014-05-24,
1997,shower chair,hmn,el-tns,9 -1000,,2003-02-26,2004-02-26,
1998,hoist,guldmann,gh2,120001-2708-2002,,2003-02-26,2006-06-21,
2000,avero,beka,avero classic,0693.39.11,,2011-10-11,2012-10-09,
2001,hoist,guldmann,gh2,120001-3082-2005,,2006-01-17,2018-01-23,23/1/17 kristoff did thorough service
2005,hoist,guldmann,gh2 f,120001-1001-2006,,2006-01-19,2018-05-02,02/05/17 Full service done by Tom. Recommendation Side covers to be replaced.
2004,hoist,guldmann,gh2,120001-4083-2006,,2007-01-18,2018-05-02,02/05/17 Full service done by Tom.
2006,shower bed,ropox,aqualine,93 -1000,,2006-04-03,,"4/6/15 NO LONGER HAS THIS BED, IT WAS REMOVED"
2014,hoist,guldmann,gl3,GL3 0126 0306,,2006-03-07,2014-03-17,
2042,hoist,guldmann,gl3,117260-1105-2007,,2006-12-10,2011-08-09,
2008,hoist,guldmann,gh2,120001-3789-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2009,hoist,guldmann,gh2,120001-3811-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2010,hoist,guldmann,gh2,120001-3793-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2011,hoist,guldmann,gh2,120001-3818-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2012,hoist,guldmann,gh2,120001-3788-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2013,hoist,guldmann,gh2,120001-3800-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2015,hoist,guldmann,gh2,120001-3787-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2016,hoist,guldmann,gh2,120001-3783-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2017,hoist,guldmann,gh2,120001-3817-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2018,hoist,guldmann,gh2,120001-3816-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2019,hoist,guldmann,gh2,120001-3807-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2020,hoist,guldmann,gh2,120001-3796-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2021,hoist,guldmann,gh2,120001-3812-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2022,hoist,guldmann,gh2,120001-3815-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2023,hoist,guldmann,gh2,120001-3808-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2024,hoist,guldmann,gh2,120001-3795-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2025,hoist,guldmann,gh2,120001-3797-2008,,2008-08-13,2018-05-23,23/05/2017 Full service done by Krzys.
2026,hoist,guldmann,gh2,120001-3814-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2027,hoist,guldmann,gh2,120001-3784-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2028,hoist,guldmann,gh2,120001-3791-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2029,hoist,guldmann,gh2,120001-3801-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2030,hoist,guldmann,gh2,120001-3806-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2031,hoist,guldmann,gh2,120001-3802-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2032,hoist,guldmann,gh2,120001-3799-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2033,hoist,guldmann,gh2,120001-3798-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2034,hoist,guldmann,gh2,120001-3813-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2035,hoist,guldmann,gh2,120001-3809-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2036,hoist,guldmann,gh2,120001-3804-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2037,hoist,guldmann,gh2,120001-3509-2008,,2008-08-26,2014-09-24,
2038,hoist,guldmann,gh2,120001-3785-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2039,hoist,guldmann,gh2,120001-3805-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2040,hoist,guldmann,gh2,120001-3810-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2041,scales,guldmann,250kg,1113461-1124-2008,,2008-08-26,2009-08-25,
2043,hoist,guldmann,gh2,120001-3792-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2044,hoist,guldmann,gh2,120001-3803-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2045,hoist,guldmann,gh2,120001-3794-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2046,hoist,guldmann,gh2,120001-3790-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2047,hoist,guldmann,gl3,GL 1075 0206,,2006-12-10,2014-03-14,
2049,hoist,guldmann,gl3,GL3 0116 2005,,2006-12-10,2013-06-27,
2048,hoist,guldmann,gl3,0243 0906,,2006-12-10,2014-03-17,30/11/2015 repair done to mobile hoist new arm fitted on right side by ian
2050,hoist,guldmann,gh2-dc,120001-4307-2005,,2008-09-04,2013-04-24,
2054,hoist 5m x 7m gh3+ 4 wall profiles,guldmann,gh3,552062,,2015-04-17,2016-04-17,17/04/2015 Scott and Ian installed system
2055,hoist,guldmann,gh2,120001-1167-2007,,2007-03-12,2016-05-26,26/5/15 Full servie carried out
2056,hoist,guldmann,gl3,01161005,,2007-03-12,2009-07-16,
2057,hoist,guldmann,gl3,02420906,,2007-03-12,2014-03-17,
2058,hoist,guldmann,gl3,02410806,,,2009-07-16,
2059,hoist,guldmann,gh2,120001-3786-2008,,2008-08-26,2018-05-23,23/05/2017 Full service done by Krzys.
2060,changing bench,ropox,vario,N41-3994,,2016-01-11,2017-01-11,11/1/2016Ian delivered and installed ROPOX bench
2062,hoist,guldmann,glhd,0051-0805,,2005-09-30,2015-07-29,full service carried out by Ian
2063,hoist,guldmann,mobile,1078-0205,,2005-09-30,2015-07-29,fully serviced by Ian -
2061,bathtub,ropox,aqualine,64 -1000,,2005-09-30,2006-09-30,
2064,hoist,guldmann,gh2-dc,120001-5059-2009,,2010-04-09,2014-03-23,
2066,,,,,,,,
2067,hoist,guldmann,gh1  2.6m straight track,66686,,2015-01-19,2016-01-19,19/1/15 Scott and Ian installed Gh1 onto 2.6m straight with 1 profile
2070,screens,silentia,"15 sec. h1.85, l 3.75",,,2009-01-08,2009-01-07,
2071,3m x 4m on b  rails,guldmann,gh3,82139,,2013-05-29,2014-05-29,"8/4/15 - Spoke to Avril Carberry - Service done by another provider, will revert once it is up for renewal."
2073,hoist,guldmann,gh2-dc,120001-5060-2009,,2010-02-15,2012-02-14,
2074,hoist,guldmann,gh2,120001-0544-2004,,2004-05-17,2015-05-10,Scott replaced batteries 2/9/14
2075,hoist,guldmann,gh2,120001-1168-2002,,2002-02-28,2012-06-27,
2076,hoist,guldmann,gh1  with switch track,63516,,2014-11-24,2015-11-24,mariusz installed 6m single track with switch track and 45 degree curve
2077,hoist,guldmann,gh2,120001-1437-2005,,2005-07-21,2014-02-27,
2078,gh1,guldmann,gh1 4.2m straight track,54402,,2014-09-12,2015-09-12,12/09/2014 - Installed GH1 hoist on 4.2m straight track
2079,changing bench,beka,mona,421111997,,2014-10-22,2015-10-22,22/10/2014 Mariusz supplied changing bench with side rail and installed
2084,gh3 hoist 4x4,guldmann,gh3,15330,,2016-02-17,2017-02-17,17/2/2016 installation of room cover
2085,gh3 hoist 4x3,guldmann,gh3,15337,,2015-12-16,2016-12-16,16/12/2015 Ruiri/ian/kristoff/kajik installed room cover
2086,gh3 hoist 4x4,guldmann,gh3,15342,,2015-12-16,2016-12-16,16/12/2015 Ruiri/ian/kristoff/kajik installed room cover
2087,gh3 hoist 3x3,guldmann,gh3,15343,,2015-12-16,2016-12-16,16/12/2015 Ruiri/ian/kristoff/kajik installed room cover
2088,gh3 hoist 4x3,guldmann,gh3,15341,,2015-12-16,2016-12-16,16/12/2015 Ruiri/ian/kristoff/kajik installed room cover
2089,gh3 hoist 4x3,guldmann,gh3,15335,,2015-12-16,2016-12-16,17/2/2016  Ruiri/ian/kristoff/kajik re installed room cover
2090,gh3 hoist 4x4,guldmann,gh3,15332,,2015-12-16,2016-12-16,23/2/2016 aligned rails and tightened braces
2091,gh3 hoist 5x5,guldmann,gh3,24452,,2015-12-16,2016-12-16,23/2/16 aligned rails and braces tightened
2092,gh3 hoist 5x5,guldmann,gh3,23943,,2015-12-16,2016-12-16,16/12/2015 Ruiri/ian/kristoff/kajik installed room cover
2093,gh3 hoist 4x4,guldmann,gh3,15336,,2015-12-16,2016-12-16,16/12/2015 Ruiri/ian/kristoff/kajik installed room cover
2094,gh3 hoist 4x3,guldmann,gh3,15333,,2015-12-16,2016-12-16,17/2/16  Ruiri/ian/kristoff/kajik re installed room cover
2095,gh3 5m straight,guldmann,gh3,29591,,2016-06-07,2017-06-07,07/06/2016 installation of 5m straight track
2100,changing bench,ropox,vario,20 -1000,,2003-10-14,2008-08-02,
2101,hoist,guldmann,gh2,19 -1000,,2003-10-14,2008-08-02,
2102,vario 1.8m,ropox,vario,N40-0125,,2008-06-17,2017-09-29,29/9/16  ruiri carried out full service
2103,bed,guldmann,flexus2,1372-2008,,,2017-09-29,29/9/16 thoroughly serviced by ruiri
2107,hoist,guldmann,gh2-ac,120001-1846-2008,,2008-06-17,2017-09-29,29/9/16 ruiri carried out thorough service
2104,hoist,guldmann,gh2-ac,120001-1847-2008,,2008-06-17,2017-09-29,29/9/2016 thorough service carried out by ruiri
2105,bathtub,beka,k2,0153.49.06,,2008-06-17,2016-09-09,29/9/16 full service carried out by ruiri
2106,hoist,guldmann,gh2-ac,120001-1845-2008,,2008-06-17,2017-09-29,29/9/16  thorough service carried out by ruiri
